Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Croatia,HRV,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,855.133.080.327.883,502.529.476.646.626,598.603.983.490.142,699.280.010.208.502,111.092.353.467.942,168.109.823.965.306,378.774.843.348.209,74.123.452.704.514,470.568.185.548.666,236.011.527.386.583,178.869.551.850.334,148.050.051.492.575,948.254.756.016.781,932.902.384.585.043,827.669.434.975.314,835.164.715.416.626,606.535.022.386.495,772.848.791.472.006,402.945.966.289.682,535.649.638.767.544,
Haiti,HTI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,982.447.298.974.943,103.917.244.006.464,137.048.405.022.222,19.577.646.173.931,267.782.261.127.755,337.310.193.884.434,174.095.489.294.705,207.568.856.551.055,200.237.487.619.804,110.269.552.547.494,851.098.190.223.088,797.635.301.055.094,504.397.372.664.641,594.414.181.382.221,607.451.116.634.254,725.495.872.445.545,615.942.366.495.302,528.471.873.720.678,718.857.652.340.631
IBRD only,IBD,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,352.486.492.714.953,19.455.188.767.538,155.807.902.785.005,194.397.454.797.085,227.447.868.025.837,211.099.064.051.831,343.432.089.445.985,831.408.281.338.241,50.121.736.140.436,747.274.017.251.706,657.976.073.027.916,45.775.488.486.547,352.659.805.958.018,438.291.291.074.939,588.196.295.035.986,173.539.738.521.402,871.770.600.281.704,775.078.175.271.484,58.975.756.189.949,756.574.960.649.575,134.157.360.715.659
IDA & IBRD total,IBT,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,344.998.706.026.528,187.298.208.572.986,154.169.596.136.905,192.322.549.516.313,234.620.346.431.325,216.256.850.976.795,337.553.792.928.709,801.092.217.437.932,481.798.045.887.362,714.859.941.957.994,630.197.893.749.251,439.204.416.442.093,338.282.248.840.738,419.400.259.140.534,562.508.158.599.321,167.327.086.113.612,843.103.121.032.211,754.259.167.361.197,573.700.160.451.073,73.029.381.784.969,128.813.851.022.455
IDA total,IDA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
IDA blend,IDB,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,746.652.366.248.062,,,539.794.788.446.684,444.403.846.244.758,316.705.411.636.823,25.071.098.744.864,107.348.097.366.788,431.470.558.552.669,29.113.393.098.995,209.257.592.470.024,229.296.694.914.338,10.572.478.762.464,741.946.542.806.193,,,,,,
Indonesia,IDN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,781.825.892.203.148,600.705.724.419.306,633.122.830.713.324,54.352.328.174.127,851.853.923.811.829,974.534.738.278.985,110.604.254.241.843,219.598.830.180.983,148.657.552.317.013,159.519.211.874.379,1.383.300.465.902,118.117.714.784.327,100.155.118.564.627,108.334.361.823.624,101.841.027.484.923,871.753.859.687.373,970.155.879.903.328,910.903.730.026.865,100.407.972.976.918,10.534.271.606.517,12.383.186.848.398
IDA only,IDX,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Isle of Man,IMN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
India,IND,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,109.489.500.548.726,511.171.184.450.986,382.401.263.512.632,465.335.153.888.506,531.676.131.333.536,577.437.490.066.737,677.482.496.087.479,896.178.894.228.818,865.176.338.371.824,783.025.675.913.586,633.133.768.216.279,406.275.403.391.879,348.777.813.180.602,307.527.915.156.399,373.412.279.475.735,381.343.264.094.329,352.251.249.772.029,454.391.814.480.159,479.372.900.865.889,453.375.523.618.545,728.148.112.020.175
Not classified,INX,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,146.836.252.624.663,205.623.089.924.846,244.142.830.139.273,370.658.372.054.239,307.504.499.744.587,368.430.758.464.025,520.274.695.951.775,91.310.633.133.374,637.594.526.008.208,417.897.554.949.921,399.685.804.001.019,341.892.590.465.469,415.466.206.844.119,625.202.074.308.341,63.949.423.977.547,71.731.464.505.927,747.113.791.544.645,859.874.131.994.692,831.742.474.316.492,,
"Iran, Islamic Rep.",IRN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,407.017.108.269.738,123.527.383.138.964,135.360.469.938.157,254.843.618.191.983,592.374.583.279.878,3.178.543.622.641,177.018.372.722.393,232.848.482.630.628,35.451.922.428.378,407.985.623.101.969,348.949.141.516.915,230.132.055.292.768,233.859.619.768.085,899.108.093.376.387,507.533.522.798.435,206.872.679.189.777,408.101.806.149.303,241.285.219.733.388,799.481.982.813.407,232.554.552.941.633,19.290.440.738.569
Iraq,IRQ,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Iceland,ISL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,244.347.771.975.139,155.679.889.897.399,425.352.062.804.623,683.215.564.084.727,848.820.081.637.215,,,,,,,,,,,,,,,,
Israel,ISR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,211.011.150.307.751,111.334.573.208.002,909.179.863.090.722,135.610.066.491.291,21.633.204.475.907,288.549.952.030.837,398.081.529.171.469,540.887.091.680.675,435.272.041.672.177,37.526.438.786.917,454.062.140.637.689,287.154.344.211.222,193.692.717.578.464,18.667.343.341.874,150.480.452.625.054,185.789.213.970.327,160.892.299.008.339,192.710.755.109.475,165.759.679.380.087,170.121.108.710.068,253.208.314.588.424
Italy,ITA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,862.975.093.504.422,513.404.771.362.055,451.499.016.024.415,464.288.020.839.555,498.302.102.786.267,567.626.184.909.139,620.117.064.849.396,100.020.763.035.247,574.771.297.494.478,421.294.188.368.662,311.716.906.490.085,368.890.677.095.841,374.998.504.374.015,359.485.661.536.551,95.081.029.463.993,,,,,,
Jamaica,JAM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,847.300.985.044.783,134.859.891.753.345,157.629.230.660.249,,,,,,,,,177.255.798.074.887,483.822.391.692.342,497.749.432.122.859,900.769.625.214.069,431.977.337.757.062,289.533.952.782.784,231.062.427.816.192,357.636.167.946.579,495.787.747.442.893,327.024.474.489.616
Jordan,JOR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,557.158.384.316.602,105.104.691.675.361,139.754.574.153.665,256.639.423.409.465,468.834.344.757.691,189.177.874.876.759,129.887.918.017.123,101.850.665.911.128,120.010.166.374.198,525.935.087.876.793,316.850.520.796.755,132.006.852.409.132,862.910.643.977.962,994.765.837.433.206,839.204.275.906.282,921.289.126.405.343,647.871.278.352.532,561.069.100.149.972,54.497.341.684.537,378.608.134.590.282,337.999.732.109.446
Japan,JPN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,49.936.490.774.906,389.041.873.893.144,414.213.216.513.412,515.062.223.554.081,706.642.897.082.929,897.797.724.246.753,11.949.040.042.777,14.380.327.349.224,121.580.146.661.005,731.288.226.031.492,741.490.479.937.493,691.509.802.484.085,533.517.049.647.482,116.707.267.819.022,989.323.247.889.331,125.345.650.725.462,104.527.886.021.421,117.189.614.462.623,125.059.198.906.176,996.014.689.817.479,125.519.574.345.822
Kazakhstan,KAZ,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,121.770.056.452.158,142.198.342.053.133,235.543.732.534.365,18.220.992.600.908,301.042.425.882.088,858.869.553.732.407,280.326.271.581.392,36.990.101.123.336,355.534.905.727.882,283.315.172.879.075,539.907.560.962.409,296.195.057.006.327,389.132.448.433.112,14.407.033.935.939,540.272.166.169.376,470.764.254.607.598,708.877.256.319.118,190.127.897.848.549,228.696.860.921.799
Kenya,KEN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,297.512.461.629.254,302.633.432.364.164,284.307.482.955.418,134.187.502.540.242,176.349.211.169.172,26.903.768.497.876,528.264.448.472.503,352.889.139.567.778,206.768.861.863.074,46.836.606.930.794,174.764.728.090.737,195.703.074.526.456,178.751.578.301.745,292.631.400.520.811,148.039.570.365.426,9.741.095.964.158,109.044.768.024.529,,,470.230.479.409.708,48.087.819.890.984
Kyrgyz Republic,KGZ,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Kiribati,KIR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,KNA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,859.744.439.815.946,682.933.129.893.682,926.238.181.811.382,650.636.734.247.431,662.934.932.127.984,128.325.599.118.267,127.160.115.797.246,163.556.431.131.017,113.356.060.692.808,178.555.313.887.719,142.452.634.277.203,15.435.443.500.273,123.954.951.178.359,970.131.548.478.656,8.648.412.133.059,125.785.559.642.396,106.715.417.045.469,123.895.084.569.288,142.374.489.993.747,116.737.433.647.148,31.567.553.058.498
Kuwait,KWT,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,334.050.855.778.817,584.753.046.778.833,117.180.990.893.623,815.194.167.851.251,11.431.911.635.556,563.191.292.464.955,,,,,138.889.005.688.974,125.046.918.529.674,231.563.125.559.958,,234.690.202.273.143,,,,271.154.451.701.126,124.279.598.545.663
Latin America & Caribbean (excluding high income),LAC,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,828.690.293.297.053,70.813.448.797.605,431.903.818.343.977,620.382.419.078.795,910.777.268.959.793,109.502.498.197.531,148.535.596.149.776,258.275.519.536.398,190.896.112.767.663,246.577.230.546.403,251.932.051.315.859,195.998.146.954.906,204.854.097.914.767,187.827.363.103.925,161.034.007.173.556,13.098.854.674.227,17.456.601.018.208,174.445.185.190.021,20.565.005.621.143,270.682.959.075.873,420.134.513.772.407
Lao PDR,LAO,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Lebanon,LBN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,674.145.657.186.779,298.021.197.429.248,614.340.710.723.192,617.489.925.681.255,889.562.996.782.445,419.633.381.113.584,912.953.044.177.348,38.965.085.061.569,587.686.709.832.782,294.048.662.126.561,488.311.450.221.067,128.105.889.839.686,926.918.823.012.912,334.683.564.432.512,129.825.808.300.074,101.187.001.848.197,176.492.179.479.071,115.031.206.409.079,686.996.428.795.439,37.974.296.631.354,732.653.444.576.643
Liberia,LBR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Libya,LBY,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
St. Lucia,LCA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,780.651.582.052.999,657.771.699.781.498,40.453.826.810.226,632.434.330.341.458,925.630.483.526.184,111.810.678.629.591,149.222.004.306.217,256.535.245.223.014,188.029.217.640.194,242.866.059.774.525,250.511.841.983.838,194.829.298.337.252,201.437.294.270.611,184.018.529.742.285,156.626.803.868.562,128.080.986.121.678,169.943.647.349.008,172.310.767.840.212,201.669.173.114.975,257.546.130.472.617,395.244.537.803.547
Least developed countries: UN classification,LDC,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Low income,LIC,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,818.085.360.151.904,828.711.366.649.661,190.765.470.309.156,381.436.790.110.992,270.112.183.566.326,442.460.561.109.793,346.052.629.499.893,298.690.222.989.542,23.787.250.856.162,296.033.226.290.526,851.846.356.869.639,707.850.558.276.206,237.688.594.016.569,199.041.362.504.066,3.148.547.326.053,210.624.838.435.974,136.776.733.021.221,25.436.984.995.785,116.136.960.152.146,105.845.108.069.655,202.829.125.351.454
Lower middle income,LMC,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,59.948.471.837.324,257.634.642.255.822,,,366.807.453.256.868,385.732.211.628.972,405.242.840.722.406,513.226.663.124.912,430.890.505.203.907,397.630.138.547.981,307.688.635.404.811,188.151.792.566.352,164.004.995.013.904,149.685.711.820.959,185.623.474.140.043,199.506.815.422.803,192.412.228.439.376,263.768.837.274.877,280.864.220.623.279,258.220.088.846.621,470.942.005.867.962
Low & middle income,LMY,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,37.074.926.065.941,201.011.177.729.078,166.295.714.966.409,20.279.388.740.747,245.863.047.439.596,225.411.945.207.101,351.834.003.200.936,843.669.522.937.952,508.435.110.230.764,749.804.570.872.014,655.177.548.647.233,454.312.164.575.159,348.462.434.009.947,432.856.794.174.421,583.071.333.314.216,173.486.300.759.771,872.778.012.762.742,779.849.632.180.856,59.387.362.333.389,758.087.915.458.493,133.575.304.681.593
Lesotho,LSO,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Late-demographic dividend,LTE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,354.082.494.434.713,207.200.874.962.265,152.820.774.798.431,190.383.899.994.331,22.022.151.953.151,182.755.010.599.967,344.074.742.174.912,10.028.586.332.063,552.277.785.890.153,888.106.310.739.995,788.740.907.483.543,538.537.464.932.145,398.884.113.211.281,51.984.460.127.525,712.961.199.429.713,226.122.372.880.599,109.952.514.604.705,945.368.424.832.803,678.142.224.974.906,918.033.745.947.319,159.876.892.574.213
Lithuania,LTU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,10.850.975.579.814,21.783.221.199.024,,,,,,,,,,,,,,,,
Luxembourg,LUX,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,575.793.435.513.906,20.149.588.352.717,129.933.262.397.271,953.946.947.972.986,113.073.368.397.634,601.768.725.638.567,560.170.544.144.811,473.003.084.674.325,304.304.865.306.142,515.685.653.771.792,316.326.972.507.874,198.926.089.809.226,192.300.024.218.405,183.334.345.261.841,160.526.563.409.997,159.726.102.202.952,113.193.079.843.889,142.352.662.680.378,111.924.272.515.285,697.451.519.370.391,647.497.258.411.561
Latvia,LVA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,342.637.319.119.632,196.235.560.938.765,197.236.974.601.983,13.438.696.386.351,110.282.143.656.285,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,733.632.422.129.622,395.537.634.557.169,212.183.427.614.267,444.344.025.251.835,594.229.846.842.701,114.601.244.426.113,129.926.247.056.359,266.504.394.045.416,135.204.350.503.344,782.275.096.229.549,604.598.257.215.116,371.774.757.334.844,326.638.770.193.288,279.659.573.117.889,255.170.688.903.789,264.369.078.254.476,284.807.007.728.098,356.623.456.258.503,306.391.488.128.221,252.911.363.321.342,297.408.599.206.924
Monaco,MCO,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Madagascar,MDG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Maldives,MDV,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,MEA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,112.153.502.065.249,602.656.275.658.521,451.140.004.984.193,338.763.039.090.167,195.620.232.582.936,166.009.053.674.217,218.363.302.559.491,211.642.687.076.342,305.529.541.271.384,236.507.221.610.065,176.509.656.430.919,142.253.601.832.099,137.726.980.171.509,142.178.388.965.881,424.438.013.965.109
Mexico,MEX,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,631.440.841.155.235,701.578.098.846.489,329.442.560.408.916,316.484.184.085.769,565.443.282.409.717,620.949.229.251.258,839.063.385.286.398,112.017.485.066.151,764.518.317.000.797,861.695.207.515.436,105.048.305.146.418,845.322.658.032.846,99.647.996.919.747,128.441.791.680.756,97.338.954.034.533,884.518.364.206.864,103.751.683.536.116,941.149.666.287.229,76.731.180.224.812,667.470.694.428.937,758.364.832.385.065
Marshall Islands,MHL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Middle income,MIC,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,37.074.926.065.941,201.011.177.729.078,166.295.714.966.409,20.279.388.740.747,245.863.047.439.596,225.411.945.207.101,351.834.003.200.936,843.669.522.937.952,508.435.110.230.764,749.804.570.872.014,655.177.548.647.233,454.312.164.575.159,348.462.434.009.947,432.856.794.174.421,583.071.333.314.216,173.486.300.759.771,872.778.012.762.742,779.849.632.180.856,59.387.362.333.389,75.835.514.134.734,133.575.304.681.593
North Macedonia,MKD,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Mali,MLI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Malta,MLT,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,430.014.835.463.693,112.189.109.626.547,116.863.854.964.247,931.074.054.110.086,164.568.768.328.446,217.689.617.825.741,399.095.857.856.746,119.350.385.990.363,749.033.886.561.392,419.373.538.245.255,537.416.657.759.111,505.979.346.638.395,46.597.770.017.214,63.842.482.616.727,528.649.826.690.105,800.615.427.040.905,633.104.975.139.748,781.653.671.446.541,645.524.941.309.771,632.506.566.195.987,476.334.891.190.505
Myanmar,MMR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa (excluding high income),MNA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,364.783.917.829.325,,,,,355.808.480.744.611,,,,
Montenegro,MNE,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,96.997.544.185.327,183.185.134.558.597,,107.169.134.843.174,168.536.022.777.203,10.644.581.626.501,,,,,,,,
Mongolia,MNG,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,MNP,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Mauritania,MRT,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Mauritius,MUS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,140.286.288.866.217,228.344.785.095.896,113.667.576.081.899,17.649.610.245.454,173.434.817.310.252,215.450.045.440.445,223.181.424.956.253,505.242.225.868.987,349.016.561.930.527,37.273.069.098.836,364.866.068.964.174,442.795.358.146.301,25.353.303.116.171,261.336.272.079.157,354.386.866.778.569,383.758.499.938.233,253.743.551.854.272,32.784.135.045.756,30.877.281.797.363,258.528.003.669.799,272.580.372.361.768
Malawi,MWI,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Malaysia,MYS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,559.886.206.828.825,226.686.734.036.911,255.127.033.790.607,414.800.613.225.907,434.401.351.761.847,311.036.965.777.527,425.007.372.410.304,798.971.124.624.642,356.660.250.614.001,399.681.874.453.853,450.122.970.536.975,43.737.801.848.079,393.257.811.192.179,4.397.607.806.539,421.963.104.306.091,369.934.993.669.966,326.252.873.086.892,430.634.313.341.286,377.199.385.547.044,297.444.523.082.756,736.966.074.637.331
North America,NAC,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,276.480.694.396.176,188.349.205.451.588,149.665.338.795.564,133.954.805.289.289,149.525.448.883.542,187.972.421.005.101,210.151.811.211.277,279.612.871.381.558,298.523.834.659.837,224.720.861.398.154,224.497.430.689.112,244.373.489.475.538,186.289.979.312.414,184.908.049.891.237,208.236.243.631.304,214.953.696.616.303,213.667.335.162.069,194.315.162.142.882,154.502.814.669.641,106.452.549.159.744,
Namibia,NAM,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,472.180.128.846.243,146.176.584.837.693,483.701.941.897.913,556.182.639.643.718,300.792.538.119.502,761.549.979.830.276,216.201.907.208.269,231.686.345.634.604,170.201.754.291.856,279.566.245.878.462,177.143.464.464.345,101.889.593.288.235,459.283.489.064.798,278.993.130.598.136,561.460.261.330.202,,,,,782.016.921.133.296,34.458.489.932.243
New Caledonia,NCL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Niger,NER,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Nigeria,NGA,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,228.554.254.907.564,,,123.789.896.023.818,111.217.853.477.475,150.870.844.422.902,6.238.708.236.458,492.482.513.578.581,152.291.406.156.985,13.910.876.736.759,934.196.037.308.663,882.124.097.534.536,119.740.328.442.178,893.948.901.243.364,82.853.308.294.983,373.074.912.324.464,587.127.417.182.977,613.222.998.409.668,572.499.468.933.728,574.256.388.263.645
Nicaragua,NIC,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Netherlands,NLD,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,155.787.858.623.336,105.635.361.109.073,111.445.138.502.332,929.052.588.289.191,95.461.770.125.996,867.737.561.781.445,122.730.086.824.525,181.656.746.824.798,10.198.489.417.445,621.990.828.805.874,657.782.653.536.457,571.598.011.631.312,497.616.719.058.474,54.332.791.289.209,533.730.235.887.519,,,,,,
Norway,NOR,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,352.016.625.923.047,303.276.208.327.802,186.257.615.366.147,213.135.841.724.673,34.502.968.326.284,457.223.302.710.466,815.296.193.741.869,10.128.921.077.429,584.447.926.594.168,535.324.237.799.379,49.186.928.537.652,368.578.241.989.424,233.253.554.134.616,18.351.516.138.218,203.952.305.133.781,247.318.298.203.332,283.948.409.251.775,293.326.179.646.984,270.967.281.864.187,248.819.795.286.934,
Nepal,NPL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
Nauru,NRU,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,189.560.241.837.938,157.959.733.926.906,388.249.761.283.021,437.612.605.915.489,489.905.124.893.529,475.607.900.845.112,484.755.034.185.252,433.724.446.170.576,247.701.950.466.194,271.628.256.573.361,130.769.325.266.642,,303.470.936.252.954,4.636.864.913.476,429.950.804.068.624,508.758.425.648.155,579.093.308.400.812,574.559.399.703.591,575.162.856.621.673,585.263.677.279.431,104.433.377.335.936
OECD members,OED,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,157.600.138.473.642,116.694.822.922.067,901.758.101.820.899,820.020.126.624.695,900.878.975.898.304,110.845.832.171.243,132.252.048.077.739,174.436.653.393.207,16.305.392.438.537,125.055.662.363.936,12.538.669.436.499,127.680.785.033.909,101.282.671.205.637,105.947.747.195.575,116.895.441.425.489,141.122.722.307.342,141.299.383.151.776,13.434.676.229.374,113.626.534.617.703,847.940.316.726.261,
Oman,OMN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,28.122.585.406.491,178.901.907.615.828,,,796.096.292.200.522,117.567.112.105.138,783.758.938.391.788,164.175.067.200.688,144.482.794.784.805,12.056.555.682.567,509.194.011.604.642,328.905.969.568.223,304.624.786.141.684,637.746.694.659.403,626.215.426.397.477,452.248.014.987.956,327.311.115.328.437,295.068.942.753.283,209.449.361.553.304,195.160.487.191.149,137.121.362.057.404
Other small states,OSS,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,,,,,,,,,,,,,727.200.143.427.306,745.660.148.172.793,186.674.758.796.774,,,,,,
Pakistan,PAK,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,377.964.556.311.423,156.669.728.596.922,,,130.190.415.348.843,116.143.426.653.947,909.419.763.586.639,655.125.443.618.716,248.591.565.114.857,10.462.699.750.502,657.779.694.913.105,451.238.917.278.657,533.728.979.489.354,243.449.412.009.956,220.861.885.536.529,,,,,,
Panama,PAN,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,1.479.017.385.647,3.583.422.810.921,453.275.304.243.925,388.491.843.409.278,120.226.078.046.094,955.149.857.485.717,139.678.459.414.723,170.219.885.869.374,115.599.176.250.129,119.115.071.930.236,230.976.004.459.956,93.408.840.696.449,177.196.466.953.749,417.764.074.044.022,497.381.884.322.154,,,,,536.847.968.539.179,368.088.356.711.723
Peru,PER,"Stocks traded, total value (% of GDP)",CM.MKT.TRAD.GD.ZS,423.356.966.010.278,141.489.093.503.975,175.221.407.019.529,165.023.497.457.631,158.339.153.618.356,225.601.673.306.773,466.173.414.705.568,788.956.894.583.241,305.358.911.995.101,244.883.038.003.204,270.689.630.060.175,301.357.571.773.749,274.011.951.356.436,157.727.921.305.591,160.752.548.907.133,764.503.348.920.451,140.452.853.961.801,300.390.874.272.529,102.253.037.282.135,697.862.280.815.836,104.612.283.638.541
