Year,ISO Code,Countries,Rank,Quartile,EFW,GovSize,PIB/capita,LegalSystem,SoundMoney,TradeFreedom,Regulation,Return,Risk,FDI,Unemployment,CPI,STT,PoliticalStab,MCC,LDC
2007,JPN,Japan,12,1,8,6.46,"35.779,02",7.82,9.89,7.67,8.15,-0.22,0.13,0.5,3.89,75,152.1,01.01,94.6,2389
2008,JPN,Japan,13,1,7.9,6.43,"39.876,31",7.68,9.84,7.54,8.00,-0.41,0.30,0.5,4,73,199.3,0.89,61,2374
2009,JPN,Japan,16,1,7.8,6.07,"41.309,00",7.58,9.91,7.70,7.75,0.28,0.23,0.2,05.07,77,117,0.98,62.5,2320
2010,JPN,Japan,16,1,7.85,6.01,"44.968,16",7.58,9.90,7.72,8.01,0.00,0.19,0.1,5.1,78,111.6,0.88,66.5,2281
2011,JPN,Japan,23,1,7.77,6.07,"48.760,08",7.51,9.88,7.45,7.93,-0.14,0.14,-0.01,4.55,80,129.6,1,53.4,2280
2012,JPN,Japan,22,1,7.84,6.09,"49.145,28",7.55,9.88,7.69,7.99,0.27,0.20,0,4.36,74,96.2,0.95,55.5,2294
2013,JPN,Japan,19,1,7.86,5.85,"40.898,65",7.63,9.84,8.02,7.96,0.34,0.19,0.2,04.04,74,133.9,01.02,87.2,3408
2014,JPN,Japan,26,1,7.85,5.93,"38.475,40",7.71,9.61,8.17,7.80,0.19,0.13,0.4,3.59,76,110.7,0.97,89.4,3458
2015,JPN,Japan,21,1,7.92,5.67,"34.960,64",7.71,9.68,8.32,8.22,-0.01,0.19,0.1,3.39,75,113.8,01.07,110.1,3504
2016,JPN,Japan,20,1,7.95,5.77,"39.375,47",7.63,9.74,8.37,8.24,0.09,0.19,0.8,3.13,72,105.4,0.98,99,3535
2017,JPN,Japan,19,1,7.97,5.80,"38.834,05",7.60,9.75,8.40,8.32,0.21,0.08,0.4,2.82,73,92.8,1.11,126.2,3598
2018,JPN,Japan,18,1,7.98,5.80,"39.751,13",7.66,9.78,8.28,8.36,-0.10,0.16,0.5,2.47,73,119,01.05,105.1,3652
2019,JPN,Japan,19,1,7.97,5.75,"40.415,96",7.67,9.81,8.32,8.34,0.12,0.13,0.8,2.35,73,82.3,01.03,121,3704
2020,JPN,Japan,12,1,7.82,5.65,"39.986,93",7.71,9.82,7.78,8.12,0.19,0.23,1.2,2.8,74,94.3,01.04,133.1,3754
2000,KOR,Korea. Rep.,54,2,6.9,7.20,"12.256,99",6.15,7.70,6.84,6.59,-0.35,0.39,2,04.06,40,289.2,0.4,29.7,1242
2001,KOR,Korea. Rep.,48,2,7.03,7.14,"11.561,25",6.29,8.25,7.17,6.31,0.21,0.37,1.2,3.7,42,159.9,0.4,42.7,1390
2002,KOR,Korea. Rep.,47,2,7.15,7.31,"13.165,07",6.30,8.46,7.14,6.54,-0.21,0.28,0.9,03.05,45,231.7,0.24,40,1512
2003,KOR,Korea. Rep.,47,2,7.16,7.17,"14.672,86",6.26,8.71,7.08,6.55,0.43,0.22,1,3.35,43,138.8,0.25,46.9,1558
2004,KOR,Korea. Rep.,46,2,7.26,6.96,"16.496,12",6.27,9.01,7.16,6.92,0.10,0.16,1.7,3.42,45,122.8,0.43,54,1570
2005,KOR,Korea. Rep.,36,2,7.52,7.10,"19.402,50",6.63,9.61,7.07,7.17,0.50,0.22,1.5,3.48,50,167.1,0.49,76.8,1616
2006,KOR,Korea. Rep.,29,1,7.65,7.12,"21.743,48",6.93,9.63,7.31,7.27,-0.03,0.12,0.9,3.25,51,160.5,0.42,79.2,1689
2007,KOR,Korea. Rep.,32,1,7.65,7.42,"24.086,41",6.80,9.61,7.45,6.99,0.19,0.24,0.8,03.01,51,170.8,0.57,95.7,1755
2008,KOR,Korea. Rep.,37,2,7.49,7.35,"21.350,43",6.46,9.42,7.39,6.81,-0.28,0.29,1.1,2.96,56,252.2,0.42,45,1789
2009,KOR,Korea. Rep.,38,2,7.47,7.05,"19.143,85",6.37,9.42,7.59,6.95,0.38,0.24,1,3.36,54,201.9,0.41,88.4,1778
2010,KOR,Korea. Rep.,31,1,7.6,7.28,"23.087,23",6.33,9.49,7.63,7.30,0.29,0.15,0.8,3.32,54,149.3,0.33,95.4,1781
2011,KOR,Korea. Rep.,31,1,7.64,7.31,"25.096,26",6.39,9.54,7.65,7.33,-0.06,0.20,0.8,2.99,55,194.2,0.41,79.5,1799
2012,KOR,Korea. Rep.,31,1,7.63,7.10,"25.466,76",6.27,9.68,7.69,7.43,0.00,0.13,0.7,2.81,56,134.4,0.27,92.3,1767
2013,KOR,Korea. Rep.,39,1,7.58,7.04,"27.182,73",6.15,9.75,7.62,7.35,-0.01,0.10,0.9,2.75,55,107.7,0.28,90.1,1798
2014,KOR,Korea. Rep.,40,1,7.65,7.00,"29.249,58",6.30,9.73,7.78,7.45,0.00,0.08,0.6,03.08,55,105.8,0.11,81.7,1849
2015,KOR,Korea. Rep.,41,2,7.66,6.93,"28.732,23",6.50,9.78,7.69,7.40,-0.02,0.09,0.3,3.55,56,149.8,0.16,84,1948
2016,KOR,Korea. Rep.,39,1,7.7,6.92,"29.288,87",6.50,9.73,7.95,7.43,0.08,0.06,0.8,3.65,53,126.1,0.16,83.6,2039
2017,KOR,Korea. Rep.,35,1,7.76,6.99,"31.616,84",6.59,9.67,7.97,7.57,0.24,0.08,1.1,3.65,54,112.4,0.39,109.1,2114
2018,KOR,Korea. Rep.,40,1,7.69,6.70,"33.436,92",6.58,9.71,7.99,7.47,-0.14,0.18,0.7,3.82,57,173.7,0.64,82,2186
2019,KOR,Korea. Rep.,44,2,7.62,6.43,"31.902,42",6.60,9.70,7.99,7.39,-0.04,0.15,0.6,3.75,59,129.8,0.55,89.9,2262
2020,KOR,Korea. Rep.,43,2,7.42,6.34,"31.721,30",6.65,9.65,7.16,7.32,0.40,0.25,0.5,3.93,61,238.5,0.57,132.3,2318
2000,MEX,Mexico,65,3,6.66,7.58,"7.232,91",4.84,6.91,7.30,6.69,-0.01,0.33,2.6,2.65,33,35.7,-0.2,17.7,175
2001,MEX,Mexico,65,3,6.69,7.74,"7.613,14",4.70,7.62,7.17,6.21,0.07,0.27,4,2.63,37,42,-0.2,16.7,167
2002,MEX,Mexico,60,2,6.82,7.71,"7.650,93",4.83,7.81,7.03,6.70,-0.14,0.20,2.6,3,36,24.5,-0.06,13.5,163
2003,MEX,Mexico,64,2,6.81,7.54,"7.120,37",4.76,7.97,7.03,6.73,0.58,0.11,2.5,3.46,36,18.8,-0.12,16.8,158
2004,MEX,Mexico,65,2,6.89,7.48,"7.525,49",4.94,7.99,7.18,6.84,0.39,0.13,3.2,3.94,36,25.8,-0.21,21.9,151
2005,MEX,Mexico,68,2,6.96,7.34,"8.321,86",5.36,8.21,7.20,6.71,0.44,0.18,2.9,3.56,35,22.8,-0.45,27.3,150
2006,MEX,Mexico,71,2,6.95,7.35,"9.125,39",5.31,8.18,7.12,6.78,0.46,0.15,2.3,3.57,33,23.5,-0.64,35.7,132
2007,MEX,Mexico,72,3,6.88,7.44,"9.719,93",5.16,8.13,6.98,6.67,0.04,0.14,2.9,3.63,35,29.6,-0.73,37.8,125
2008,MEX,Mexico,72,3,6.88,7.43,"10.119,82",5.16,8.16,7.00,6.64,-0.32,0.25,2.7,3.87,36,36.3,-0.8,21.1,125
2009,MEX,Mexico,76,3,6.81,7.14,"8.104,92",5.04,8.10,7.05,6.71,0.55,0.27,2.2,5.36,33,22,-0.69,39.1,125
2010,MEX,Mexico,78,3,6.93,7.55,"9.399,96",5.04,8.12,7.00,6.93,0.22,0.13,2.9,5.3,31,24.5,-0.73,43,130
2011,MEX,Mexico,81,3,6.89,7.39,"10.341,50",5.04,8.17,7.05,6.78,0.01,0.11,2,5.17,29,24.4,-0.67,34.6,128
2012,MEX,Mexico,80,3,6.95,7.58,"10.376,09",4.96,8.12,7.07,7.03,0.21,0.10,1.5,4.89,34,22.8,-0.66,43.7,131
2013,MEX,Mexico,82,3,6.98,7.61,"10.865,69",4.91,8.13,7.17,7.11,-0.10,0.09,4,4.91,34,31.1,-0.71,41.3,138
2014,MEX,Mexico,78,2,7.1,8.11,"11.076,13",4.87,8.11,7.57,6.84,0.00,0.11,2.2,4.81,35,26.7,-0.85,36.5,141
2015,MEX,Mexico,70,2,7.15,8.30,"9.753,40",4.79,8.13,7.55,7.01,0.07,0.11,3.1,4.31,35,25.8,-0.8,34.3,136
2016,MEX,Mexico,79,2,7.07,8.37,"8.875,08",4.69,8.12,7.26,6.90,0.08,0.08,3.6,3.86,30,28.2,-0.63,32.5,137
2017,MEX,Mexico,75,2,7.12,8.36,"9.434,38",4.78,7.89,7.61,6.98,0.07,0.09,2.9,3.42,29,23.1,-0.8,36,141
2018,MEX,Mexico,75,2,7.17,8.26,"9.857,01",4.74,8.13,7.63,7.10,-0.13,0.18,3.1,3.27,28,24.4,-0.65,31.5,140
2019,MEX,Mexico,75,2,7.20,8.25,"10.145,15",4.69,8.23,7.71,7.10,0.00,0.10,2.4,3.48,29,20.5,-0.84,32.6,139
2020,MEX,Mexico,64,2,7.12,8.08,"8.655,00",4.72,8.16,7.65,7.00,-0.03,0.23,2.9,4.45,31,20.7,-0.86,36.6,140
2000,THA,Thailand,73,3,6.48,6.88,"2.004,11",5.84,6.74,6.63,6.33,0,0.41,2.7,2.39,32,66.2,0.45,23.1,381
2001,THA,Thailand,71,3,6.49,7.08,"1.889,97",5.87,6.74,6.68,6.09,0.02,0.36,4.2,2.6,32,86.4,0.51,29.9,382
2002,THA,Thailand,71,3,6.6,7.03,"2.091,18",5.94,6.87,6.66,6.51,0.09,0.21,2.5,1.82,32,90.7,0.51,33.9,398
2003,THA,Thailand,70,3,6.64,7.33,"2.350,85",5.68,7.00,6.60,6.62,0.89,0.25,3.4,1.54,33,87.8,-0.15,78.2,419
2004,THA,Thailand,74,3,6.71,7.55,"2.647,26",5.63,7.09,6.52,6.78,0.00,0.15,3.4,1.51,36,101.3,-0.72,66.7,463
2005,THA,Thailand,76,3,6.63,7.19,"2.876,25",5.75,7.03,6.26,6.93,0.09,0.16,4.3,1.35,38,72.5,-0.87,65.4,504
2006,THA,Thailand,79,3,6.74,7.55,"3.343,79",5.64,6.96,6.46,7.09,-0.14,0.16,4,1.22,36,69.2,-1.13,63.2,518
2007,THA,Thailand,82,3,6.72,7.31,"3.934,69",5.66,7.20,6.40,7.04,0.20,0.20,3.3,1.18,33,57.2,-1.11,75,523
2008,THA,Thailand,80,3,6.75,7.45,"4.327,80",5.55,7.06,6.62,7.08,-0.44,0.35,2.9,1.18,35,102.8,-1.27,35.4,525
2009,THA,Thailand,86,3,6.64,7.15,"4.154,19",5.33,7.21,6.50,7.01,0.59,0.22,2.3,1.49,34,71.6,-1.42,62.8,535
2010,THA,Thailand,97,3,6.58,7.20,"4.996,37",5.08,7.10,6.43,7.10,0.38,0.16,4.3,0.62,32,80.1,-1.44,81.4,541
2011,THA,Thailand,98,3,6.55,7.30,"5.396,64",4.93,6.99,6.45,7.08,0.12,0.22,0.7,0.66,33,80.2,-1.13,72.4,545
2012,THA,Thailand,101,3,6.55,7.34,"5.748,63",4.87,6.97,6.49,7.07,0.36,0.12,3.2,0.58,37,61.3,-1.22,98,558
2013,THA,Thailand,104,3,6.49,7.29,"6.041,13",4.80,6.98,6.34,7.06,-0.14,0.17,3.8,0.25,35,98.7,-1.31,84.3,584
2014,THA,Thailand,104,3,6.54,7.36,"5.822,38",4.73,7.02,6.69,6.91,0.24,0.11,1.2,0.58,38,72.2,-0.91,105.7,613
2015,THA,Thailand,88,3,6.8,6.89,"5.708,79",5.08,8.41,6.68,6.93,-0.18,0.11,2.2,0.6,38,77.8,-0.99,86.9,639
2016,THA,Thailand,89,3,6.81,6.81,"5.854,46",4.98,8.59,6.71,6.96,0.21,0.08,0.8,0.69,35,80.9,-0.99,104.7,656
2017,THA,Thailand,88,3,6.78,7.07,"6.436,79",4.91,8.57,6.84,6.52,0.16,0.06,1.8,0.83,37,61.9,-0.75,120.3,688
2018,THA,Thailand,88,3,6.86,7.09,"7.124,56",4.90,8.59,6.82,6.92,-0.10,0.14,2.7,0.77,36,77.2,-0.8,98.8,704
2019,THA,Thailand,88,3,6.91,7.13,"7.628,58",4.92,8.58,7.03,6.88,-0.08,0.11,1,0.72,36,64.5,-0.48,104.6,725
2020,THA,Thailand,86,3,6.78,6.91,"7.001,79",4.96,9.78,6.47,5.80,-0.03,0.31,-1,1.1,36,88.6,-0.58,108.5,743
2000,TUR,Turkey,104,4,5.61,7.22,"4.278,27",5.05,3.57,6.62,5.60,-0.36,0.53,0.4,6.5,38,238.1,-0.8,25.4,315
2001,TUR,Turkey,108,4,5.44,7.02,"3.100,46",5.00,3.59,6.53,5.07,0.24,0.72,1.7,8.38,36,135.7,-0.8,24,310
2002,TUR,Turkey,100,4,5.75,7.36,"3.640,76",5.44,4.06,6.59,5.31,-0.17,0.47,0.5,10.36,32,188.6,-0.8,15,288
2003,TUR,Turkey,94,3,6.04,7.79,"4.704,77",5.48,4.88,6.67,5.37,0.56,0.44,0.5,10.54,31,143.5,-0.77,21.7,244
2004,TUR,Turkey,93,3,6.13,8.09,"6.031,79",5.73,5.05,6.59,5.18,0.58,0.24,0.7,10.84,32,149.1,-0.83,24,253
2005,TUR,Turkey,95,3,6.35,8.19,"7.369,43",5.97,4.94,6.97,5.71,0.63,0.27,2,10.64,35,124.8,-0.6,31.6,257
2006,TUR,Turkey,96,3,6.39,7.85,"8.003,81",5.82,5.57,7.03,5.68,-0.08,0.25,3.6,8.72,38,140.8,-0.59,28.9,259
2007,TUR,Turkey,91,3,6.52,7.82,"9.668,40",5.39,6.54,6.97,5.85,0.04,0.29,3.2,8.87,41,114.2,-0.82,41.8,259
2008,TUR,Turkey,65,2,6.97,7.60,"10.802,60",5.40,8.46,7.19,6.20,-0.39,0.42,2.6,9.71,46,188.2,-0.82,15.3,250
2009,TUR,Turkey,70,2,6.9,7.10,"8.989,74",5.39,8.78,7.30,5.95,1.11,0.30,1.3,12.55,44,135,-1.03,35.7,248
2010,TUR,Turkey,74,2,6.97,7.28,"10.614,98",5.22,8.80,7.24,6.32,0.16,0.22,1.2,10.66,44,133.3,-0.92,38.9,263
2011,TUR,Turkey,67,2,7.1,7.53,"11.308,37",5.32,8.96,7.13,6.58,-0.10,0.25,1.9,8.8,42,183.2,-0.96,23.5,263
2012,TUR,Turkey,68,2,7.1,7.46,"11.697,47",5.30,8.95,7.15,6.63,0.38,0.20,1.6,8.15,49,113.9,-1.22,35.8,242
2013,TUR,Turkey,79,2,7,7.25,"12.507,80",5.09,9.03,7.10,6.50,-0.21,0.24,1.4,8.73,50,191.2,-1.25,20.4,235
2014,TUR,Turkey,84,3,6.98,7.25,"12.020,35",4.90,9.03,7.17,6.56,0.44,0.20,1.4,9.88,45,168.2,-1.09,23.4,226
2015,TUR,Turkey,79,2,6.99,7.31,"10.851,92",5.00,9.08,7.12,6.44,-0.17,0.14,2.2,10.24,42,185.2,-1.49,21.9,392
2016,TUR,Turkey,85,3,6.97,7.23,"10.734,26",4.94,9.02,7.10,6.56,0.17,0.18,1.6,10.84,41,168.6,-2.01,19.8,380
2017,TUR,Turkey,94,3,6.7,7.26,"10.464,01",4.72,8.84,7.16,5.51,0.39,0.17,1.3,10.82,40,165.8,-1.79,26.5,374
2018,TUR,Turkey,100,3,6.66,7.03,"9.400,84",4.77,8.35,7.17,5.98,-0.13,0.23,1.6,10.89,41,247.8,-1.32,19.2,377
2019,TUR,Turkey,111,3,6.49,6.53,"9.103,01",4.85,8.26,6.98,5.82,0.14,0.24,1.3,13.67,39,187.9,-1.37,24.3,378
2020,TUR,Turkey,112,3,6.48,6.52,"8.561,06",4.84,8.27,6.92,5.88,-0.99,0.99,1.1,13.11,40,365.8,-1.14,33,371
2000,USA,United States,3,1,8.7,7.71,"36.329,96",8.77,9.61,8.81,8.60,-0.02,0.16,3.4,3.99,78,197.1,01.08,147.4,6917
2001,USA,United States,3,1,8.56,7.52,"37.133,62",8.62,9.61,8.73,8.33,-0.17,0.18,1.6,4.73,76,149.3,01.08,132.1,6177
2002,USA,United States,4,1,8.61,7.67,"37.997,76",8.37,9.72,8.63,8.67,-0.24,0.19,1,5.78,77,154.3,0.29,101.1,5685
2003,USA,United States,4,1,8.61,7.87,"39.490,27",8.26,9.74,8.67,8.52,0.32,0.10,1,5.99,75,112.5,0.08,124.5,5295
2004,USA,United States,4,1,8.7,8.07,"41.724,63",8.14,9.75,8.71,8.79,0.04,0.07,1.7,5.53,75,117,-0.23,133.6,5226
2005,USA,United States,3,1,8.51,7.89,"44.123,41",7.94,9.70,8.29,8.74,0.08,0.07,1.1,05.08,76,151.7,-0.06,130.4,5145
2006,USA,United States,4,1,8.51,7.87,"46.302,00",7.87,9.65,8.31,8.86,0.12,0.05,2.2,4.62,73,156.3,0.49,141.6,5133
2007,USA,United States,4,1,8.53,7.83,"48.050,22",7.98,9.61,8.33,8.94,-0.04,0.11,2.4,4.62,72,215.1,0.37,137.6,5109
2008,USA,United States,5,1,8.33,7.28,"48.570,05",7.91,9.51,8.27,8.69,-0.40,0.20,2.3,5.78,73,407.6,0.58,78.5,4666
2009,USA,United States,8,1,8.05,6.65,"47.194,94",7.70,9.63,8.03,8.26,0.30,0.21,1.1,9.25,75,227.5,0.45,104.1,4401
2010,USA,United States,5,1,8.14,7.03,"48.650,64",7.65,9.68,8.02,8.34,0.20,0.17,1.8,9.63,71,208.4,0.44,114.8,4279
2011,USA,United States,5,1,8.16,7.20,"50.065,97",7.49,9.68,8.01,8.42,0.02,0.15,1.7,8.95,71,262.4,0.59,100.3,4171
2012,USA,United States,5,1,8.26,7.40,"51.784,42",7.57,9.78,7.99,8.57,0.14,0.10,1.5,08.07,73,173.3,0.63,114.9,4102
2013,USA,United States,5,1,8.23,7.02,"53.291,13",7.59,9.82,7.96,8.74,0.19,0.10,1.7,7.37,73,138.3,0.64,142.7,4180
2014,USA,United States,7,1,8.25,7.24,"55.123,85",7.65,9.74,7.84,8.79,0.12,0.08,1.4,6.17,74,148,0.58,150,4369
2015,USA,United States,6,1,8.31,7.24,"56.762,73",7.75,9.86,7.81,8.89,-0.03,0.13,2.8,5.28,76,165.1,0.68,137.7,4381
2016,USA,United States,5,1,8.34,7.25,"57.866,74",7.79,9.81,7.89,8.95,0.17,0.09,2.5,4.87,74,94.7,0.4,146.3,4331
2017,USA,United States,5,1,8.38,7.36,"59.907,75",7.80,9.77,7.92,9.03,0.24,0.05,2,4.36,75,116.1,0.29,164.9,4336
2018,USA,United States,6,1,8.28,7.41,"62.823,31",7.65,9.77,7.78,8.79,-0.04,0.16,1,3.9,71,108.5,0.42,148.2,4397
2019,USA,United States,5,1,8.25,7.32,"65.120,39",7.64,9.75,7.83,8.68,0.19,0.12,1.5,3.67,69,,0.13,158.5,4266
2020,USA,United States,7,1,7.97,6.79,"63.528,63",7.56,9.63,7.77,8.11,0.15,0.24,0.7,8.05,67,,0.03,193.3,
2000,PER,Peru,29,1,7.47,8.28,"1.941,30",4.13,9.13,8.62,7.20,-0.33,0.16,1.6,4.9,44,22.5,-0.99,18.8,209
2001,PER,Peru,24,1,7.63,8.30,"1.926,00",4.94,9.54,8.55,6.82,-0.03,0.17,2.2,5,41,7.5,,18.8,204
2002,PER,Peru,24,1,7.71,8.07,"2.004,00",5.05,9.76,8.60,7.05,0.18,0.17,3.9,4.8,40,8.4,-0.97,20.9,198
2003,PER,Peru,26,1,7.68,8.12,"2.126,00",5.04,9.63,8.59,7.04,0.75,0.14,2.3,4.2,37,6.9,-1.16,24.1,195
2004,PER,Peru,28,1,7.69,8.29,"2.393,00",5.10,9.55,8.35,7.17,0.52,0.20,2.4,4.7,35,5.8,-1.03,27.1,192
2005,PER,Peru,26,1,7.68,8.19,"2.702,20",5.31,9.67,8.28,6.93,0.24,0.17,3.4,4.9,35,7.1,-0.98,31.7,193
2006,PER,Peru,26,1,7.66,8.20,"3.123,30",5.34,9.54,8.36,6.84,1.66,0.23,3.9,4.2,33,10.3,-0.84,45.1,189
2007,PER,Peru,33,1,7.64,8.24,"3.572,40",5.25,9.33,8.52,6.88,0.08,0.44,5.4,4.1,35,11.6,-0.77,67.9,188
2008,PER,Peru,28,1,7.69,8.21,"4.184,90",5.39,8.97,8.62,7.25,-0.48,0.55,5.7,4,36,9.7,-0.89,31.4,201
2009,PER,Peru,23,1,7.70,7.77,"4.165,00",5.47,9.24,8.77,7.22,1.07,0.44,5.3,4,37,4.1,-1.18,59.3,195
2010,PER,Peru,20,1,7.81,7.79,"5.047,20",5.44,9.18,8.85,7.76,0.53,0.20,5.7,3.6,35,3.9,-1,70.1,199
2011,PER,Peru,21,1,7.82,8.08,"5.826,80",5.37,9.32,8.80,7.53,-0.10,0.24,4.5,3.5,34,6.3,-0.76,47.7,202
2012,PER,Peru,24,1,7.80,8.04,"6.475,70",5.31,9.39,8.72,7.54,0.06,0.18,7.4,3.2,38,5.1,-0.91,53.3,214
2013,PER,Peru,27,1,7.76,7.86,"6.697,20",5.24,9.29,8.79,7.59,-0.26,0.17,4.8,3.6,38,3.9,-0.81,40.3,212
2014,PER,Peru,30,1,7.76,7.85,"6.614,80",5.33,9.40,8.59,7.63,-0.13,0.17,2.1,3.2,38,4.1,-0.55,39.3,211
2015,PER,Peru,33,1,7.75,7.73,"6.180,10",5.42,9.45,8.49,7.68,-0.34,0.21,3.9,3.3,36,2.6,-0.4,29.8,212
2016,PER,Peru,38,1,7.71,7.64,"6.163,90",5.36,9.59,8.52,7.45,0.76,0.23,3.5,3.7,35,2.8,-0.2,42.3,217
2017,PER,Peru,36,1,7.74,7.71,"6.676,30",5.36,9.65,8.62,7.39,0.29,0.12,3.5,3.7,37,5.7,-0.26,47,218
2018,PER,Peru,33,1,7.77,7.67,"6.912,10",5.29,9.76,8.70,7.42,-0.04,0.10,2.6,03.05,35,2.4,-0.27,42,211
2019,PER,Peru,33,1,7.78,7.73,"6.955,90",5.31,9.72,8.70,7.45,0.03,0.11,2.1,3.4,36,1.6,-0.15,43.3,196
2020,PER,Peru,37,1,7.50,7.56,"6.063,00",5.35,9.71,7.86,7.02,0.05,0.31,0.4,7.2,38,2.4,-0.36,43.1,199
2000,POL,Poland,79,3,6.30,5.35,"4.501,50",5.97,7.14,6.48,6.55,-0.07,0.31,5.4,16.3,41,65.4,0.31,18.2,225
2001,POL,Poland,75,3,6.33,5.35,"4.991,20",5.78,7.57,6.36,6.58,-0.18,0.37,3,18.4,41,39.1,,13.6,230
2002,POL,Poland,70,3,6.65,5.52,"5.207,10",5.82,8.06,6.96,6.91,-0.23,0.30,2.1,19.9,40,11.4,0.74,14.3,202
2003,POL,Poland,69,3,6.65,5.49,"5.701,60",5.59,8.32,6.98,6.85,0.46,0.26,2.5,19.4,36,21,0.58,17,188
2004,POL,Poland,72,3,6.72,5.54,"6.681,30",5.80,8.29,7.04,6.91,0.16,0.11,5.4,19.1,35,25.2,0.15,27.6,211
2005,POL,Poland,72,3,6.81,5.44,"8.021,50",5.87,8.46,7.18,7.08,0.49,0.21,3.6,17.8,34,27.9,0.36,30.7,234
2006,POL,Poland,74,3,6.81,5.37,"9.035,50",6.24,8.30,7.19,6.97,0.24,0.22,6.2,13.8,37,35.8,0.35,43.2,253
2007,POL,Poland,77,3,6.80,5.51,"11.254,30",5.92,8.16,7.31,7.09,-0.15,0.22,5.8,9.6,42,42.6,0.68,49.3,352
2008,POL,Poland,74,3,6.83,5.72,"13.995,80",6.09,7.95,7.30,7.06,-0.46,0.27,2.7,7.1,46,56.9,0.91,17,432
2009,POL,Poland,71,2,6.89,5.54,"11.525,90",6.36,8.05,7.29,7.24,0.49,0.30,3.2,8.2,50,37.5,0.94,34.3,470
2010,POL,Poland,81,3,6.91,5.35,"12.504,30",6.36,8.17,7.34,7.35,0.14,0.17,3.9,9.6,53,36.4,01.02,40.1,570
2011,POL,Poland,75,2,6.98,5.35,"13.776,40",6.52,8.15,7.24,7.65,-0.14,0.20,3.5,9.6,55,52.9,01.07,26.4,757
2012,POL,Poland,69,2,7.09,5.60,"13.010,80",6.48,8.31,7.24,7.83,0.07,0.17,1.4,10.1,58,33.9,01.05,35.8,844
2013,POL,Poland,71,2,7.08,5.56,"13.558,30",6.49,8.40,7.37,7.60,-0.05,0.16,0.2,10.3,60,35.5,0.97,39.7,869
2014,POL,Poland,62,2,7.29,5.74,14.182,6.52,8.46,7.86,7.87,-0.01,0.11,3.8,9,61,34.2,0.84,31.3,872
2015,POL,Poland,61,2,7.29,5.72,"12.560,10",6.42,8.45,8.00,7.85,-0.24,0.11,3.3,7.5,62,38.2,0.87,28.9,872
2016,POL,Poland,66,2,7.23,6.15,"12.378,80",6.23,8.44,7.97,7.37,0.16,0.17,3.8,6.2,62,35.1,0.51,29.5,861
2017,POL,Poland,66,2,7.24,5.92,"13.815,50",6.49,8.41,8.08,7.30,0.24,0.14,2.3,4.9,60,33.7,0.52,38.4,861
2018,POL,Poland,78,2,7.11,5.65,"15.504,50",6.12,8.43,8.04,7.31,-0.07,0.17,3.3,3.9,60,34.1,0.49,27.3,823
2019,POL,Poland,71,2,7.22,6.12,15.700,6.13,8.37,8.02,7.44,-0.13,0.10,3,3.3,58,33.2,0.56,25.4,798
2020,POL,Poland,80,2,6.93,5.56,15.816,6.17,8.18,7.67,7.07,-0.06,0.33,3.2,3.2,56,47,0.52,29.6,782
2000,MYS,Malaysia,74,3,6.47,5.64,"4.087,60",4.87,8.30,6.51,7.01,-0.19,0.25,4,3,48,46.4,0.09,120.6,787
2001,MYS,Malaysia,87,3,6.07,5.32,"3.941,10",4.99,6.92,6.49,6.64,0.19,0.21,0.6,3.5,50,17.7,,128.2,804
2002,MYS,Malaysia,87,3,6.15,5.24,"4.177,10",5.05,6.82,6.54,7.08,0.03,0.15,3.2,3.5,49,20.5,0.54,124.7,857
2003,MYS,Malaysia,87,3,6.18,5.22,"4.454,50",5.03,7.03,6.44,7.18,0.15,0.17,2.9,3.6,52,28.4,0.49,145.9,897
2004,MYS,Malaysia,88,3,6.19,5.41,"4.924,30",5.21,6.74,6.42,7.15,0.12,0.10,3.5,3.5,50,29.8,0.35,145.6,955
2005,MYS,Malaysia,86,3,6.51,5.69,"5.536,80",5.29,6.67,7.10,7.81,-0.01,0.09,2.7,3.5,51,24.7,0.57,125.8,1015
2006,MYS,Malaysia,86,3,6.51,5.57,"6.137,20",5.12,6.70,7.16,7.97,0.49,0.10,4.7,3.3,50,29.4,0.29,144.8,1021
2007,MYS,Malaysia,88,3,6.61,5.92,7.144,5.13,6.87,7.16,7.97,-0.14,0.16,4.7,3.2,51,47.5,0.19,168.1,983
2008,MYS,Malaysia,94,3,6.45,5.64,"8.343,30",4.96,6.70,7.18,7.78,0.04,0.25,3.3,3.3,51,43.5,0.11,82,972
2009,MYS,Malaysia,96,3,6.43,5.54,"7.167,90",5.14,6.66,6.92,7.86,0.16,0.12,0.1,3.7,45,28,-0.04,143,952
2010,MYS,Malaysia,95,3,6.63,5.79,"8.880,10",5.32,6.70,7.04,8.27,0.15,0.10,4.3,3.4,44,28.1,0.14,160.3,948
2011,MYS,Malaysia,96,3,6.65,5.80,"10.209,40",5.40,6.56,7.17,8.31,0.04,0.11,5.1,3,43,32.9,0.08,132.8,932
2012,MYS,Malaysia,93,3,6.68,5.82,"10.601,50",5.35,6.62,7.15,8.44,0.08,0.08,2.8,3.1,49,26.5,-0.01,148.4,911
2013,MYS,Malaysia,55,2,7.29,6.02,"10.727,70",5.38,9.24,7.27,8.57,0.02,0.06,3.5,3.2,50,28.4,0.05,154.8,900
2014,MYS,Malaysia,54,2,7.40,6.29,"11.045,60",5.43,9.45,7.33,8.52,-0.10,0.06,3.1,2.9,52,31.1,0.27,135.8,895
